Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
1/1/2012,1,949.0,1064,33.70,35.22,0.00,-1.52,51.60,55.78,0.00,-4.18,30,30
1/1/2012,2,913.6,1016,31.92,33.39,0.00,-1.47,36.67,39.01,0.00,-2.34,30,29
1/1/2012,3,891.3,986,29.10,30.30,0.00,-1.20,35.87,38.29,0.00,-2.42,30,29
1/1/2012,4,883.5,978,27.72,28.88,0.00,-1.16,31.74,33.77,0.00,-2.03,26,26
1/1/2012,5,894.5,979,19.38,20.21,0.00,-0.83,20.90,22.14,0.00,-1.24,28,28
1/1/2012,6,923.8,1000,19.48,20.24,0.00,-0.76,35.10,37.08,0.00,-1.98,26,25
1/1/2012,7,958.6,1048,29.51,30.70,0.00,-1.19,37.67,39.92,0.00,-2.25,27,25
1/1/2012,8,1035.7,1101,32.91,34.33,0.00,-1.42,24.34,25.71,0.00,-1.37,27,26
1/1/2012,9,1136.3,1176,36.21,37.57,0.00,-1.36,33.60,35.36,0.00,-1.76,29,28
1/1/2012,10,1224.2,1227,37.08,38.45,0.00,-1.37,48.03,50.77,0.00,-2.74,33,32
1/1/2012,11,1232.4,1233,39.75,41.22,0.00,-1.47,36.04,37.88,0.00,-1.84,38,36
1/1/2012,12,1214.9,1233,40.61,42.04,0.00,-1.43,30.90,32.44,0.00,-1.54,42,39
1/1/2012,13,1214.0,1233,39.11,40.29,0.00,-1.18,31.69,33.26,0.00,-1.57,46,38
1/1/2012,14,1178.9,1226,36.54,37.76,0.00,-1.22,22.06,23.10,0.00,-1.04,45,37
1/1/2012,15,1170.6,1227,35.23,36.52,0.00,-1.29,20.55,21.48,0.00,-0.93,46,38
1/1/2012,16,1189.7,1229,37.28,38.63,0.00,-1.35,24.21,25.04,0.00,-0.83,44,39
1/1/2012,17,1355.5,1391,48.12,49.78,0.00,-1.66,39.89,41.49,0.00,-1.60,42,38
1/1/2012,18,1381.8,1465,63.44,66.82,-0.55,-2.83,47.28,49.49,0.00,-2.21,41,38
1/1/2012,19,1362.2,1439,54.84,57.92,-0.59,-2.49,51.33,54.23,0.00,-2.90,41,38
1/1/2012,20,1337.8,1381,45.04,46.85,0.00,-1.81,47.86,50.44,0.00,-2.58,42,39
1/1/2012,21,1262.3,1308,43.54,45.30,0.00,-1.76,41.67,44.16,0.00,-2.49,44,40
1/1/2012,22,1112.5,1222,36.44,38.51,0.00,-2.07,35.65,37.89,0.00,-2.24,45,41
1/1/2012,23,1027.5,1137,35.90,38.05,0.00,-2.15,35.25,37.45,0.00,-2.20,46,42
1/1/2012,24,944.1,1050,37.13,38.19,0.00,-1.06,28.63,30.22,0.00,-1.59,46,43
1/2/2012,1,885.8,987,28.39,30.24,0.00,-1.85,24.32,25.68,0.00,-1.36,46,44
1/2/2012,2,851.1,950,28.81,30.80,0.00,-1.99,2.41,2.54,0.00,-0.13,46,44
1/2/2012,3,836.2,931,22.39,23.86,0.00,-1.47,0.00,0.00,0.00,0.00,46,45
1/2/2012,4,828.4,930,19.16,20.34,0.00,-1.18,0.00,0.00,0.00,0.00,47,45
1/2/2012,5,856.0,958,19.20,20.34,0.00,-1.14,0.00,0.00,0.00,0.00,47,45
1/2/2012,6,895.1,1016,29.13,30.89,0.00,-1.76,0.00,0.00,0.00,0.00,46,45
1/2/2012,7,985.6,1096,29.38,31.00,0.00,-1.62,0.00,0.00,0.00,0.00,46,43
1/2/2012,8,1017.4,1187,33.22,35.45,0.00,-2.23,0.00,0.00,0.00,0.00,42,36
1/2/2012,9,1100.9,1266,39.09,41.49,0.00,-2.40,0.00,0.00,0.00,0.00,40,32
