Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
1-Jan-16,01,"1,070.40","1,070.60",40.65,40.79,-0.27,0.13,33.51,33.51,0.00,0.00,37,24
1-Jan-16,02,"1,027.00","1,015.85",36.14,36.30,-0.25,0.09,35.33,35.38,0.00,-0.05,37,22
1-Jan-16,03,999.50,975.47,30.67,30.83,-0.20,0.04,30.66,30.73,0.00,-0.07,37,23
1-Jan-16,04,991.60,960.09,30.33,30.29,0.00,0.04,18.52,18.58,0.00,-0.06,35,24
1-Jan-16,05,"1,003.80",965.52,30.45,30.40,0.00,0.05,8.91,8.94,0.00,-0.03,35,26
1-Jan-16,06,"1,073.30",998.45,31.78,31.68,0.00,0.10,18.10,18.14,0.00,-0.04,35,26
1-Jan-16,07,"1,162.10","1,046.85",36.99,36.73,0.00,0.26,31.03,31.03,0.00,0.00,35,27
1-Jan-16,08,"1,192.30","1,096.03",42.64,42.26,0.00,0.38,15.17,15.14,0.00,0.03,35,26
1-Jan-16,09,"1,268.70","1,175.80",41.76,41.40,0.00,0.36,26.45,26.38,0.00,0.07,35,26
1-Jan-16,10,"1,366.40","1,256.85",42.74,42.52,0.00,0.22,29.37,29.29,0.00,0.08,35,26
1-Jan-16,11,"1,376.10","1,305.53",43.19,42.92,0.00,0.27,25.29,25.24,0.00,0.05,37,25
1-Jan-16,12,"1,378.50","1,334.04",43.79,43.57,0.00,0.22,34.57,34.51,0.00,0.06,38,24
1-Jan-16,13,"1,355.20","1,348.29",43.11,42.81,0.00,0.30,35.58,35.55,0.00,0.03,38,22
1-Jan-16,14,"1,329.70","1,337.23",43.26,42.92,0.00,0.34,39.23,39.15,0.00,0.08,38,24
1-Jan-16,15,"1,331.10","1,319.62",43.30,42.95,0.00,0.35,36.33,36.25,0.00,0.08,38,22
1-Jan-16,16,"1,359.80","1,334.63",47.78,47.44,0.00,0.34,35.31,35.25,0.00,0.06,39,21
1-Jan-16,17,"1,502.90","1,446.40",48.26,47.70,0.00,0.56,36.12,36.04,0.00,0.08,38,21
1-Jan-16,18,"1,628.20","1,535.39",65.19,64.50,0.00,0.69,36.33,36.18,0.00,0.15,37,21
1-Jan-16,19,"1,603.70","1,513.50",52.97,52.41,0.00,0.56,49.78,49.60,0.00,0.18,36,23
1-Jan-16,20,"1,552.30","1,461.22",46.15,45.64,0.00,0.51,35.43,35.31,0.00,0.12,35,25
1-Jan-16,21,"1,469.00","1,400.50",58.68,58.13,0.00,0.55,37.09,36.93,0.00,0.16,34,22
1-Jan-16,22,"1,351.60","1,322.75",52.91,52.52,0.00,0.39,40.80,40.57,0.00,0.23,32,21
1-Jan-16,23,"1,257.50","1,223.24",40.76,40.59,0.00,0.17,8.06,8.04,0.00,0.02,33,20
1-Jan-16,24,"1,156.70","1,125.89",40.83,40.64,0.00,0.19,39.36,39.33,0.00,0.03,31,21
