Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
1-Jan-18,01,"1,027.80","1,423.11",121.49,124.97,0.00,-3.48,135.70,144.52,-2.16,-6.66,-4,-16
1-Jan-18,02,976.90,"1,375.66",119.74,123.70,0.00,-3.96,125.64,132.67,-0.89,-6.14,-6,-15
1-Jan-18,03,957.40,"1,357.32",119.59,123.58,0.00,-3.99,126.40,132.06,0.00,-5.66,-7,-13
1-Jan-18,04,953.80,"1,350.55",119.73,123.77,0.00,-4.04,133.91,140.24,0.00,-6.33,-9,-15
1-Jan-18,05,974.40,"1,364.90",120.68,124.10,0.00,-3.42,129.73,135.42,0.00,-5.69,-12,-17
1-Jan-18,06,"1,031.80","1,397.83",120.43,123.78,0.00,-3.35,128.66,133.97,0.00,-5.31,-12,-17
1-Jan-18,07,"1,069.40","1,457.76",127.15,129.89,0.00,-2.74,125.36,130.19,0.00,-4.83,-15,-18
1-Jan-18,08,"1,184.00","1,523.11",132.12,135.11,0.00,-2.99,122.60,126.57,0.00,-3.97,-16,-21
1-Jan-18,09,"1,298.60","1,613.75",142.20,145.24,0.00,-3.04,129.67,132.82,0.00,-3.15,-15,-19
1-Jan-18,10,"1,344.10","1,683.13",173.00,176.40,0.00,-3.40,189.09,193.48,0.00,-4.39,-12,-18
1-Jan-18,11,"1,360.70","1,719.66",161.68,164.88,0.00,-3.20,180.47,184.77,0.00,-4.30,-4,-14
1-Jan-18,12,"1,342.10","1,715.83",166.96,171.06,0.00,-4.10,154.74,158.82,0.00,-4.08,1,-11
1-Jan-18,13,"1,323.90","1,700.11",157.69,162.16,0.00,-4.47,143.10,146.93,0.00,-3.83,5,-10
1-Jan-18,14,"1,286.90","1,668.98",152.56,157.48,0.00,-4.92,133.51,137.56,0.00,-4.05,8,-7
1-Jan-18,15,"1,335.10","1,667.58",144.77,148.53,0.00,-3.76,126.05,129.76,0.00,-3.71,9,-8
1-Jan-18,16,"1,373.80","1,683.47",150.71,154.08,0.00,-3.37,134.28,137.99,0.00,-3.71,8,-9
1-Jan-18,17,"1,461.30","1,791.30",188.12,190.38,0.00,-2.26,149.47,153.51,0.00,-4.04,7,-10
1-Jan-18,18,"1,553.70","1,863.63",215.19,218.24,0.00,-3.05,166.19,171.09,0.00,-4.90,5,-10
1-Jan-18,19,"1,542.70","1,835.76",207.63,210.24,0.00,-2.61,164.96,170.20,0.00,-5.24,2,-11
1-Jan-18,20,"1,460.70","1,776.61",193.31,196.21,0.00,-2.90,154.28,159.26,0.00,-4.98,1,-11
1-Jan-18,21,"1,357.30","1,693.76",161.78,165.24,0.00,-3.46,157.78,163.34,0.00,-5.56,0,-11
1-Jan-18,22,"1,229.00","1,596.58",161.67,165.06,0.00,-3.39,151.71,157.18,0.00,-5.47,-2,-11
1-Jan-18,23,"1,043.20","1,482.56",152.82,158.15,-0.02,-5.31,135.49,140.22,0.00,-4.73,-5,-11
1-Jan-18,24,971.60,"1,426.40",151.14,156.84,0.00,-5.70,69.36,72.05,0.00,-2.69,-5,-11
2-Jan-18,01,"1,050.10","1,375.44",140.10,144.81,0.00,-4.71,125.47,130.53,0.00,-5.06,-8,-12
2-Jan-18,02,"1,032.10","1,349.25",129.97,133.91,0.00,-3.94,118.63,123.45,0.00,-4.82,-7,-14
2-Jan-18,03,"1,023.50","1,349.61",128.06,130.79,0.00,-2.73,107.07,110.85,0.00,-3.78,-10,-15
2-Jan-18,04,"1,014.60","1,353.55",127.05,130.16,0.00,-3.11,118.89,122.81,0.00,-3.92,-10,-15
2-Jan-18,05,"1,056.70","1,400.53",132.89,136.13,0.00,-3.24,124.66,128.27,0.00,-3.61,-8,-15
2-Jan-18,06,"1,195.20","1,511.64",155.17,157.63,0.00,-2.46,148.70,152.45,0.00,-3.75,-10,-15
2-Jan-18,07,"1,391.80","1,696.62",180.77,182.65,0.00,-1.88,222.54,228.21,0.00,-5.67,-8,-14
2-Jan-18,08,"1,490.50","1,773.20",202.94,204.14,0.00,-1.20,182.46,187.16,0.00,-4.70,-9,-14
2-Jan-18,09,"1,523.40","1,790.69",199.20,200.11,0.00,-0.91,161.07,165.15,0.00,-4.08,-10,-14
2-Jan-18,10,"1,517.40","1,798.16",199.06,199.99,0.00,-0.93,149.35,153.13,0.00,-3.78,-7,-14
2-Jan-18,11,"1,518.00","1,789.52",198.86,198.86,0.00,0.00,154.43,157.96,0.00,-3.53,1,-11
2-Jan-18,12,"1,491.20","1,750.53",193.31,193.57,0.00,-0.26,145.42,148.30,0.00,-2.88,5,-7
2-Jan-18,13,"1,463.20","1,731.88",166.49,167.11,0.00,-0.62,146.30,148.97,0.00,-2.67,8,-8
2-Jan-18,14,"1,480.00","1,718.14",156.76,157.45,0.00,-0.69,148.63,151.04,0.00,-2.41,10,-8
2-Jan-18,15,"1,500.00","1,729.37",151.15,151.56,0.00,-0.41,148.57,150.97,0.00,-2.40,12,-6
2-Jan-18,16,"1,525.10","1,749.10",151.85,152.57,0.00,-0.72,146.05,148.06,0.00,-2.01,12,-6
2-Jan-18,17,"1,602.90","1,843.25",184.74,184.95,0.00,-0.21,165.52,167.78,0.00,-2.26,12,-5
2-Jan-18,18,"1,654.40","1,916.08",216.71,217.60,0.00,-0.89,168.87,171.36,0.00,-2.49,10,-4
2-Jan-18,19,"1,657.40","1,901.93",208.15,208.86,0.00,-0.71,167.33,171.00,0.00,-3.67,10,-4
2-Jan-18,20,"1,592.40","1,848.50",195.38,195.78,0.00,-0.40,173.60,179.64,0.00,-6.04,8,-4
2-Jan-18,21,"1,477.50","1,778.32",179.25,181.00,0.00,-1.75,153.53,161.04,-0.56,-6.95,7,-4
2-Jan-18,22,"1,356.50","1,667.08",163.67,166.51,0.00,-2.84,117.63,125.13,-1.93,-5.57,5,-5
2-Jan-18,23,"1,140.50","1,537.61",153.97,158.04,0.00,-4.07,111.83,118.72,-1.85,-5.04,5,-4
2-Jan-18,24,"1,060.60","1,445.79",133.25,136.50,0.00,-3.25,113.84,120.88,-1.85,-5.19,6,-1
3-Jan-18,01,938.10,"1,386.99",120.24,125.15,0.00,-4.91,118.17,125.91,-1.93,-5.81,10,1
3-Jan-18,02,930.40,"1,360.95",119.33,124.21,0.00,-4.88,117.36,124.16,-1.12,-5.68,7,0
3-Jan-18,03,917.50,"1,349.31",115.61,119.78,0.00,-4.17,111.87,117.19,-0.46,-4.86,9,2
3-Jan-18,04,912.40,"1,346.12",116.07,120.04,0.00,-3.97,123.21,128.53,0.00,-5.32,9,2
3-Jan-18,05,957.40,"1,384.91",120.17,123.79,0.00,-3.62,120.69,126.54,-0.82,-5.03,11,3
3-Jan-18,06,"1,078.10","1,486.99",127.04,131.06,0.00,-4.02,148.95,156.52,-2.39,-5.18,13,5
3-Jan-18,07,"1,267.10","1,666.88",193.81,198.75,0.00,-4.94,202.56,211.96,-3.26,-6.14,10,5
3-Jan-18,08,"1,387.80","1,743.43",189.90,194.42,0.00,-4.52,228.62,237.24,-2.27,-6.35,9,4
3-Jan-18,09,"1,373.70","1,740.14",188.81,193.11,0.00,-4.30,192.82,198.62,0.00,-5.80,9,4
3-Jan-18,10,"1,356.10","1,710.10",182.52,187.18,0.00,-4.66,175.65,180.15,0.00,-4.50,13,5
3-Jan-18,11,"1,372.90","1,687.10",184.28,187.69,0.00,-3.41,148.72,151.84,0.00,-3.12,14,7
3-Jan-18,12,"1,312.00","1,645.47",172.42,175.52,0.00,-3.10,163.47,166.08,0.00,-2.61,17,7
3-Jan-18,13,"1,246.40","1,627.55",150.43,153.08,0.00,-2.65,129.91,132.12,0.00,-2.21,21,10
3-Jan-18,14,"1,236.00","1,608.26",144.15,147.21,0.00,-3.06,135.16,137.43,0.00,-2.27,23,9
