STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TSUN,WDF5,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT22
USW00014755,"MOUNT WASHINGTON, NH US",1/1/2011,41.38,326,0,2,0,14,10,270,66.9,,1,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/2/2011,28.41,1009,0.11,33,0,5,180,270,53,,1,,,,1,,,,,,1,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",1/3/2011,76.28,2007,0.05,0,0.6,5,0,320,125.9,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",1/4/2011,55.7,313,0.07,0,1.5,5,0,320,98,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/5/2011,72.25,1036,0.1,0,1.5,7,0,270,106,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",1/6/2011,37.8,256,0,67,0,7,372,320,94,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",1/7/2011,14.32,1125,0.03,47,0.4,7,260,180,25.1,,1,,,,,,,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",1/8/2011,13.42,2355,0,7,0.7,7,40,360,23,,1,,,,,,,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/9/2011,58.61,2031,0.1,0,0.9,8,0,270,89.9,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/10/2011,50.33,1733,0.07,30,0.6,8,167,320,77,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",1/11/2011,14.54,425,0,94,0,8,527,320,34.9,,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/12/2011,45.63,1016,0.47,0,8.8,8,0,90,82.1,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/13/2011,32.88,636,0.11,44,1.4,10,250,320,83,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/14/2011,13.87,1921,0,100,0,10,563,320,36.9,,1,,,,,,,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",1/15/2011,34.45,1847,0.1,61,1.4,10,348,230,83,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/16/2011,53.24,8,0.1,0,1.1,11,0,270,81,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/17/2011,34.23,25,0,100,0,11,569,270,59.9,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",1/18/2011,46.3,1347,0.59,0,8.3,11,0,180,76.1,,1,,1,,,,1,,,,,,,1,
USW00014755,"MOUNT WASHINGTON, NH US",1/19/2011,13.2,7,0.21,5,3,16,30,140,38,,1,,,,,,,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/20/2011,28.86,455,0,18,0,18,105,320,50.1,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/21/2011,44.96,1755,0.19,0,1.9,18,0,270,100.9,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/22/2011,42.95,245,0,91,0,19,525,270,89,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",1/23/2011,41.38,1653,0.02,9,0.2,19,55,320,79,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/24/2011,55.7,629,0,100,0,19,583,320,89,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",1/25/2011,45.41,1440,0.07,0,1.4,19,0,270,70,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/26/2011,19.91,28,0,73,0,19,430,270,51,,1,,,,,,,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",1/27/2011,24.61,1059,0.06,26,0.9,18,155,360,51.9,,1,,,,,,,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/28/2011,20.36,811,0.02,46,1.3,18,270,320,36.9,,1,,,,,,,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/29/2011,12.97,707,0.04,10,1.6,20,60,270,29.1,,1,,,,,,,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/30/2011,26.62,2349,0.05,1,0.9,21,5,270,72.9,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",1/31/2011,46.98,639,0,95,0,19,571,320,74,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",2/1/2011,29.97,355,0.06,0,1.7,17,0,270,40,,1,,,,,,,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/2/2011,29.08,841,0.66,0,9.3,18,0,140,55.9,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/3/2011,23.71,2220,0,100,0.1,23,607,270,57.9,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/4/2011,53.24,1452,0,72,0,23,441,270,74.9,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",2/5/2011,44.74,2114,1.26,57,7.8,23,347,140,78.1,,1,1,1,,,,1,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/6/2011,57.04,639,0.33,0,1.8,29,0,320,104,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/7/2011,32.88,1113,0,0,0.2,29,0,230,51,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/8/2011,38.7,2312,0.3,0,3.8,30,0,270,87,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/9/2011,70.91,202,0,6,0,30,40,320,104,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",2/10/2011,56.37,1328,0,2,0,24,15,270,85,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",2/11/2011,43.62,731,0,12,0,22,78,270,65.1,,1,,,,,,,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",2/12/2011,57.04,2258,0.03,0,0.4,22,0,270,102,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/13/2011,57.71,20,0.13,18,1.7,22,115,270,97.1,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/14/2011,56.82,2123,0.1,0,1.7,22,0,360,97.1,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/15/2011,82.54,130,0,90,0,22,580,320,117.9,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",2/16/2011,49.21,24,0.02,4,0.3,20,25,320,89,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/17/2011,36.91,251,0.02,92,0.1,20,594,270,57.9,,1,,1,,,,1,,,,,,,1,
USW00014755,"MOUNT WASHINGTON, NH US",2/18/2011,56.37,2148,0,11,0,20,70,270,83,,1,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/19/2011,56.82,659,0.2,0,2.1,20,0,270,91.9,,1,1,,,,,,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/20/2011,64.65,214,0,72,0,20,470,320,108.9,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",2/21/2011,48.32,1749,0.09,11,0.8,20,75,320,79,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/22/2011,46.08,2342,0,100,0,20,660,320,70.9,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",2/23/2011,47.65,2,0,100,0,20,665,320,70.9,,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/24/2011,35.79,1946,0,52,0,18,349,270,66.9,,1,,,,,,,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/25/2011,34.67,2227,0.59,0,5.9,16,0,320,102.9,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/26/2011,61.07,254,0.06,4,0.6,16,30,270,102.9,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/27/2011,24.38,2359,0.08,0,2.2,16,0,230,45,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",2/28/2011,57.04,2352,0.3,0,1.9,17,0,270,108,,1,,,,,,,,,,1,,1,,1
USW00014755,"MOUNT WASHINGTON, NH US",3/1/2011,57.94,38,0.2,61,1.1,18,414,320,112.1,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",3/2/2011,62.86,2048,0.22,0,3.4,18,0,270,108.9,,1,,,,,,1,,,,,,,1,1
USW00014755,"MOUNT WASHINGTON, NH US",3/3/2011,58.38,722,0,99,0,19,682,320,100.9,,1,,,,,,1,,,,,,,,1
USW00014755,"MOUNT WASHINGTON, NH US",3/4/2011,28.19,2213,0,91,0.2,19,628,230,59.9,,1,,,,,,1,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/5/2011,48.32,1309,0.03,0,0.2,19,0,230,99.1,,1,,,,,,1,,,,,,1,1,
