"STATION","NAME","Date","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TSUN","WDF5","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT22"
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-01,41.38,326,0,2,0,14,10,270,66.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-02,28.41,1009,0.11,33,0,5,180,270,53,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-03,76.28,2007,0.05,0,0.6,5,0,320,125.9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-04,55.7,313,0.07,0,1.5,5,0,320,98,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-05,72.25,1036,0.1,0,1.5,7,0,270,106,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-06,37.8,256,0,67,0,7,372,320,94,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-07,14.32,1125,0.03,47,0.4,7,260,180,25.1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-08,13.42,2355,0,7,0.7,7,40,360,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-09,58.61,2031,0.1,0,0.9,8,0,270,89.9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-10,50.33,1733,0.07,30,0.6,8,167,320,77,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-11,14.54,425,0,94,0,8,527,320,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-12,45.63,1016,0.47,0,8.8,8,0,90,82.1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-13,32.88,636,0.11,44,1.4,10,250,320,83,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-14,13.87,1921,0,100,0,10,563,320,36.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-15,34.45,1847,0.1,61,1.4,10,348,230,83,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-16,53.24,8,0.1,0,1.1,11,0,270,81,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-17,34.23,25,0,100,0,11,569,270,59.9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-18,46.3,1347,0.59,0,8.3,11,0,180,76.1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-19,13.2,7,0.21,5,3,16,30,140,38,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-20,28.86,455,0,18,0,18,105,320,50.1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-21,44.96,1755,0.19,0,1.9,18,0,270,100.9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-22,42.95,245,0,91,0,19,525,270,89,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-23,41.38,1653,0.02,9,0.2,19,55,320,79,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-24,55.7,629,0,100,0,19,583,320,89,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-25,45.41,1440,0.07,0,1.4,19,0,270,70,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-26,19.91,28,0,73,0,19,430,270,51,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-27,24.61,1059,0.06,26,0.9,18,155,360,51.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-28,20.36,811,0.02,46,1.3,18,270,320,36.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-29,12.97,707,0.04,10,1.6,20,60,270,29.1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-30,26.62,2349,0.05,1,0.9,21,5,270,72.9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-01-31,46.98,639,0,95,0,19,571,320,74,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-02-01,29.97,355,0.06,0,1.7,17,0,270,40,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-02-02,29.08,841,0.66,0,9.3,18,0,140,55.9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-02-03,23.71,2220,0,100,0.1,23,607,270,57.9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-02-04,53.24,1452,0,72,0,23,441,270,74.9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"USW00014755","MOUNT WASHINGTON, NH US",2011-02-05,44.74,2114,1.26,57,7.8,23,347,140,78.1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
